action,decision,Vdig,Vmove,w_t,alien_level,position,step,row,col,total_reward,round_reward,round,forager_role_mode,alpha,r_gained
move,move,0.0,0.0,0.6,,"(6, 7)",0,6,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 7)",1,5,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(6, 7)",2,6,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(7, 7)",3,7,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(6, 7)",4,6,7,0.0,0.0,0,unknown,0.0,
move,move,0.0,0.0,0.6,,"(5, 7)",5,5,7,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(4, 7)",6,4,7,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(3, 7)",7,3,7,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(3, 8)",8,3,8,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(3, 9)",9,3,9,0.0,0.0,2,unknown,0.0,
move,move,0.0,0.0,0.6,,"(3, 10)",10,3,10,0.0,0.0,4,unknown,0.0,
move,move,0.0,0.0,0.6,,"(3, 11)",11,3,11,0.0,0.0,4,unknown,0.5,
dig,dig,0.5,0.0,0.6,,"(3, 11)",12,3,11,0.5,0.5,4,unknown,0.4583333333333333,0.5
dig,dig,0.5,0.038461538461538464,0.6,,"(3, 11)",13,3,11,1.0,1.0,4,unknown,0.4230769230769231,0.5
dig,dig,0.5,0.07142857142857142,0.6,,"(3, 11)",14,3,11,1.5,1.5,4,unknown,0.39285714285714285,0.5
dig,dig,0.5,0.1,0.6,,"(3, 11)",15,3,11,2.0,2.0,6,unknown,0.3666666666666667,0.5
dig,dig,0.5,0.125,0.6,,"(3, 11)",16,3,11,2.5,2.5,6,unknown,-0.15625,0.5
move,move,0.0,0.14705882352941177,0.6,,"(2, 11)",17,2,11,2.5,2.5,6,unknown,-0.14705882352941177,
move,move,0.0,0.1388888888888889,0.6,,"(2, 10)",18,2,10,2.5,2.5,6,unknown,-0.1388888888888889,
move,move,0.0,0.13157894736842105,0.6,,"(2, 9)",19,2,9,2.5,2.5,6,unknown,-0.13157894736842105,
move,move,0.0,0.125,0.6,,"(2, 8)",20,2,8,2.5,2.5,8,unknown,-0.125,
move,move,0.0,0.11904761904761904,0.6,,"(2, 7)",21,2,7,2.5,2.5,8,unknown,-0.11904761904761904,
move,move,0.0,0.11363636363636363,0.6,,"(2, 6)",22,2,6,2.5,2.5,8,unknown,-0.11363636363636363,
move,move,0.0,0.10869565217391304,0.6,,"(2, 5)",23,2,5,2.5,2.5,8,unknown,0.09130434782608697,
dig,dig,0.2,0.10416666666666667,0.6,,"(2, 5)",24,2,5,2.7,2.7,8,unknown,0.08750000000000001,0.2
dig,dig,0.2,0.10800000000000001,0.6,,"(2, 5)",25,2,5,2.9000000000000004,2.9000000000000004,10,unknown,-0.11600000000000002,0.2
move,move,0.0,0.11153846153846156,0.6,,"(2, 4)",26,2,4,2.9000000000000004,2.9000000000000004,10,unknown,-0.11153846153846156,
move,move,0.0,0.10740740740740742,0.6,,"(2, 3)",27,2,3,2.9000000000000004,2.9000000000000004,10,unknown,-0.10740740740740742,
move,move,0.0,0.10357142857142858,0.6,,"(2, 2)",28,2,2,2.9000000000000004,2.9000000000000004,10,unknown,-0.10357142857142858,
move,move,0.0,0.1,0.6,,"(3, 2)",29,3,2,2.9000000000000004,2.9000000000000004,10,unknown,-0.1,
move,move,0.0,0.09666666666666668,0.6,,"(4, 2)",30,4,2,2.9000000000000004,2.9000000000000004,12,unknown,0.10333333333333333,
dig,dig,0.2,0.09354838709677421,0.6,,"(4, 2)",31,4,2,3.1000000000000005,3.1000000000000005,12,unknown,0.09999999999999999,0.2
dig,dig,0.2,0.09687500000000002,0.6,,"(4, 2)",32,4,2,3.3000000000000007,3.3000000000000007,12,unknown,-0.10312500000000002,0.2
move,move,0.0,0.10000000000000002,0.6,,"(5, 2)",33,5,2,3.3000000000000007,3.3000000000000007,12,unknown,-0.10000000000000002,
move,move,0.0,0.09705882352941178,0.6,,"(6, 2)",34,6,2,3.3000000000000007,3.3000000000000007,12,unknown,-0.09705882352941178,
move,move,0.0,0.0942857142857143,0.6,,"(7, 2)",35,7,2,3.3000000000000007,3.3000000000000007,14,unknown,0.7057142857142857,
dig,dig,0.8,0.09166666666666669,0.6,,"(7, 2)",36,7,2,4.1000000000000005,4.1000000000000005,14,unknown,0.6861111111111111,0.8
