action,decision,Vdig,Vmove,w_t,alien_level,position,step,row,col,total_reward,round_reward,round,forager_role_mode,alpha,r_gained
dig,dig,0.8,0.11081081081081083,0.6,,"(7, 2)",37,7,2,4.9,4.9,14,unknown,0.6675675675675676,0.8
dig,dig,0.8,0.12894736842105264,0.6,,"(7, 2)",38,7,2,5.7,5.7,14,unknown,0.65,0.8
dig,dig,0.8,0.14615384615384616,0.6,,"(7, 2)",39,7,2,6.5,6.5,14,unknown,0.6333333333333334,0.8
dig,dig,0.8,0.1625,0.6,,"(7, 2)",40,7,2,7.3,7.3,16,unknown,0.6175,0.8
dig,dig,0.8,0.17804878048780487,0.6,,"(7, 2)",41,7,2,8.1,8.1,16,unknown,0.602439024390244,0.8
dig,dig,0.8,0.19285714285714284,0.6,,"(7, 2)",42,7,2,8.9,8.9,16,unknown,0.5880952380952381,0.8
dig,dig,0.8,0.20697674418604653,0.6,,"(7, 2)",43,7,2,9.700000000000001,9.700000000000001,16,unknown,-0.22558139534883723,0.8
move,move,0.0,0.2204545454545455,0.6,,"(7, 3)",44,7,3,9.700000000000001,9.700000000000001,16,unknown,-0.2204545454545455,
move,move,0.0,0.21555555555555558,0.6,,"(7, 4)",45,7,4,9.700000000000001,9.700000000000001,18,unknown,-0.21555555555555558,
move,move,0.0,0.21086956521739134,0.6,,"(8, 4)",46,8,4,9.700000000000001,9.700000000000001,18,unknown,-0.010869565217391325,
move,move,0.2,0.20638297872340428,0.6,,"(8, 5)",47,8,5,9.700000000000001,9.700000000000001,18,unknown,-0.20638297872340428,
move,move,0.0,0.20208333333333336,0.6,,"(9, 5)",48,9,5,9.700000000000001,9.700000000000001,18,unknown,-0.20208333333333336,
move,move,0.0,0.1979591836734694,0.6,,"(9, 6)",49,9,6,9.700000000000001,9.700000000000001,18,unknown,-0.1979591836734694,
move,move,0.0,0.19400000000000003,0.6,,"(9, 7)",50,9,7,9.700000000000001,9.700000000000001,20,unknown,-0.19400000000000003,
move,move,0.0,0.19019607843137257,0.6,,"(9, 8)",51,9,8,9.700000000000001,9.700000000000001,20,unknown,0.30980392156862746,
dig,dig,0.5,0.18653846153846157,0.6,,"(9, 8)",52,9,8,10.200000000000001,10.200000000000001,20,unknown,0.3038461538461538,0.5
dig,dig,0.5,0.19245283018867926,0.6,,"(9, 8)",53,9,8,10.700000000000001,10.700000000000001,20,unknown,0.2981132075471698,0.5
dig,dig,0.5,0.19814814814814816,0.6,,"(9, 8)",54,9,8,11.200000000000001,11.200000000000001,20,unknown,0.29259259259259257,0.5
dig,dig,0.5,0.20363636363636364,0.6,,"(9, 8)",55,9,8,11.700000000000001,11.700000000000001,22,unknown,0.28727272727272724,0.5
dig,dig,0.5,0.20892857142857144,0.6,,"(9, 8)",56,9,8,12.200000000000001,12.200000000000001,22,unknown,-0.2178571428571429,0.5
move,move,0.0,0.21403508771929827,0.6,,"(9, 9)",57,9,9,12.200000000000001,12.200000000000001,22,unknown,-0.014035087719298261,
move,move,0.2,0.21034482758620693,0.6,,"(9, 10)",58,9,10,12.200000000000001,12.200000000000001,22,unknown,-0.010344827586206917,
move,move,0.2,0.20677966101694917,0.6,,"(8, 10)",59,8,10,12.200000000000001,12.200000000000001,22,unknown,-0.20677966101694917,
move,move,0.0,0.20333333333333334,0.6,,"(8, 9)",60,8,9,12.200000000000001,12.200000000000001,24,unknown,-0.20333333333333334,
move,move,0.0,0.2,0.6,,"(8, 8)",61,8,8,12.200000000000001,12.200000000000001,24,unknown,-0.2,
move,move,0.0,0.19677419354838713,0.6,,"(8, 7)",62,8,7,12.200000000000001,12.200000000000001,24,unknown,-0.19677419354838713,
move,move,0.0,0.19365079365079366,0.6,,"(8, 6)",63,8,6,12.200000000000001,12.200000000000001,24,unknown,0.30634920634920637,
dig,dig,0.5,0.19062500000000002,0.6,,"(8, 6)",64,8,6,12.700000000000001,12.700000000000001,24,unknown,0.30156249999999996,0.5
dig,dig,0.5,0.1953846153846154,0.6,,"(8, 6)",65,8,6,13.200000000000001,13.200000000000001,26,unknown,0.2969230769230769,0.5
dig,dig,0.5,0.2,0.6,,"(8, 6)",66,8,6,13.700000000000001,13.700000000000001,26,unknown,0.2924242424242424,0.5
dig,dig,0.5,0.20447761194029854,0.6,,"(8, 6)",67,8,6,14.200000000000001,14.200000000000001,26,unknown,0.2880597014925373,0.5
dig,dig,0.5,0.2088235294117647,0.6,,"(8, 6)",68,8,6,14.700000000000001,14.700000000000001,26,unknown,-0.2161764705882353,0.5
move,move,0.0,0.21304347826086958,0.6,,"(8, 5)",69,8,5,14.700000000000001,14.700000000000001,26,unknown,-0.21304347826086958,
move,move,0.0,0.21000000000000002,0.6,,"(8, 4)",70,8,4,14.700000000000001,14.700000000000001,28,unknown,-0.010000000000000009,
move,move,0.2,0.20704225352112676,0.6,,"(8, 3)",71,8,3,14.700000000000001,14.700000000000001,28,unknown,-0.20704225352112676,
move,move,0.0,0.2041666666666667,0.6,,"(9, 3)",72,9,3,14.700000000000001,14.700000000000001,28,unknown,-0.2041666666666667,
move,move,0.0,0.20136986301369864,0.6,,"(9, 2)",73,9,2,14.700000000000001,14.700000000000001,28,unknown,-0.0013698630136986245,
dig,dig,0.2,0.19864864864864867,0.6,,"(9, 2)",74,9,2,14.9,14.9,28,unknown,-0.0013513513513513375,0.2
dig,dig,0.2,0.19866666666666666,0.6,,"(9, 2)",75,9,2,15.1,15.1,30,unknown,-0.20133333333333334,0.2
move,move,0.0,0.1986842105263158,0.6,,"(9, 1)",76,9,1,15.1,15.1,30,unknown,-0.1986842105263158,
move,move,0.0,0.19610389610389609,0.6,,"(10, 1)",77,10,1,15.1,15.1,30,unknown,0.003896103896103925,
dig,dig,0.2,0.1935897435897436,0.6,,"(10, 1)",78,10,1,15.299999999999999,15.299999999999999,30,unknown,0.0038461538461538602,0.2
dig,dig,0.2,0.19367088607594934,0.6,,"(10, 1)",79,10,1,15.499999999999998,15.499999999999998,30,unknown,-0.1962025316455696,0.2
move,move,0.0,0.19374999999999998,0.6,,"(9, 1)",80,9,1,15.499999999999998,15.499999999999998,32,unknown,-0.19374999999999998,
move,move,0.0,0.19135802469135801,0.6,,"(8, 1)",81,8,1,15.499999999999998,15.499999999999998,32,unknown,-0.19135802469135801,
move,move,0.0,0.1890243902439024,0.6,,"(7, 1)",82,7,1,15.499999999999998,15.499999999999998,32,unknown,-0.1890243902439024,
move,move,0.0,0.18674698795180722,0.6,,"(6, 1)",83,6,1,15.499999999999998,15.499999999999998,32,unknown,0.3132530120481928,
dig,dig,0.5,0.1845238095238095,0.6,,"(6, 1)",84,6,1,15.999999999999998,15.999999999999998,32,unknown,0.30952380952380953,0.5
dig,dig,0.5,0.18823529411764703,0.6,,"(6, 1)",85,6,1,16.5,16.5,34,unknown,0.3058823529411765,0.5
dig,dig,0.5,0.19186046511627908,0.6,,"(6, 1)",86,6,1,17.0,17.0,34,unknown,0.3023255813953488,0.5
dig,dig,0.5,0.19540229885057472,0.6,,"(6, 1)",87,6,1,17.5,17.5,34,unknown,0.29885057471264365,0.5
dig,dig,0.5,0.19886363636363635,0.6,,"(6, 1)",88,6,1,18.0,18.0,34,unknown,-0.20454545454545456,0.5
move,move,0.0,0.20224719101123595,0.6,,"(6, 2)",89,6,2,18.0,18.0,34,unknown,-0.20224719101123595,
move,move,0.0,0.2,0.6,,"(6, 3)",90,6,3,18.0,18.0,36,unknown,-0.2,
move,move,0.0,0.1978021978021978,0.6,,"(6, 4)",91,6,4,18.0,18.0,36,unknown,-0.1978021978021978,
move,move,0.0,0.1956521739130435,0.6,,"(6, 5)",92,6,5,18.0,18.0,36,unknown,-0.1956521739130435,
move,move,0.0,0.1935483870967742,0.6,,"(6, 6)",93,6,6,18.0,18.0,36,unknown,-0.1935483870967742,
move,move,0.0,0.19148936170212766,0.6,,"(5, 6)",94,5,6,18.0,18.0,36,unknown,-0.19148936170212766,
move,move,0.0,0.18947368421052632,0.6,,"(4, 6)",95,4,6,18.0,18.0,38,unknown,-0.18947368421052632,
move,move,0.0,0.1875,0.6,,"(4, 7)",96,4,7,18.0,18.0,38,unknown,-0.1875,
move,move,0.0,0.18556701030927836,0.6,,"(4, 8)",97,4,8,18.0,18.0,38,unknown,-0.18556701030927836,
move,move,0.0,0.1836734693877551,0.6,,"(4, 9)",98,4,9,18.0,18.0,38,unknown,-0.1836734693877551,
move,move,0.0,0.18181818181818182,0.6,,"(4, 10)",99,4,10,18.0,18.0,38,unknown,-0.18181818181818182,
